week,rtx_4090
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,2
2022-05-22,1
2022-05-29,2
2022-06-05,2
2022-06-12,1
2022-06-19,1
2022-06-26,1
2022-07-03,2
2022-07-10,1
2022-07-17,2
2022-07-24,2
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,7
2022-09-18,46
2022-09-25,25
2022-10-02,44
2022-10-09,100
2022-10-16,51
2022-10-23,40
2022-10-30,34
2022-11-06,30
2022-11-13,28
2022-11-20,26
2022-11-27,23
2022-12-04,24
2022-12-11,24
2022-12-18,24
2022-12-25,25
2023-01-01,24
2023-01-08,22
2023-01-15,21
2023-01-22,20
2023-01-29,20
2023-02-05,18
2023-02-12,19
2023-02-19,19
2023-02-26,17
2023-03-05,17
2023-03-12,17
2023-03-19,17
2023-03-26,17
2023-04-02,17
2023-04-09,18
2023-04-16,16
2023-04-23,15
2023-04-30,15
2023-05-07,15
2023-05-14,13
2023-05-21,15
2023-05-28,15
2023-06-04,14
2023-06-11,14
2023-06-18,14
2023-06-25,14
2023-07-02,15
2023-07-09,15
2023-07-16,15
2023-07-23,15
2023-07-30,15
2023-08-06,15
2023-08-13,16
2023-08-20,16
2023-08-27,17
2023-09-03,17
2023-09-10,16
2023-09-17,19
2023-09-24,16
2023-10-01,16
2023-10-08,15
2023-10-15,19
2023-10-22,20
2023-10-29,18
2023-11-05,18
2023-11-12,19
2023-11-19,23
2023-11-26,21
2023-12-03,23
2023-12-10,21
2023-12-17,20
2023-12-24,23
2023-12-31,21
2024-01-07,21
2024-01-14,18
2024-01-21,20
2024-01-28,19
2024-02-04,18
2024-02-11,18
2024-02-18,17
2024-02-25,17
2024-03-03,16
2024-03-10,16
2024-03-17,17
2024-03-24,17
2024-03-31,17
2024-04-07,15
2024-04-14,14
2024-04-21,13
2024-04-28,14
2024-05-05,13
2024-05-12,12
2024-05-19,13
2024-05-26,12
2024-06-02,14
2024-06-09,14
2024-06-16,14
2024-06-23,12
2024-06-30,13
2024-07-07,14
2024-07-14,12
2024-07-21,14
2024-07-28,12
2024-08-04,13
2024-08-11,14
2024-08-18,19
2024-08-25,18
2024-09-01,16
2024-09-08,18
2024-09-15,16
2024-09-22,17
2024-09-29,16
2024-10-06,16
2024-10-13,16
2024-10-20,16
2024-10-27,16
2024-11-03,18
2024-11-10,19
2024-11-17,21
2024-11-24,23
2024-12-01,22
2024-12-08,22
2024-12-15,21
2024-12-22,23
2024-12-29,22
2025-01-05,45
